Date,Close,High,Low,Open,Volume
4/3/2018 0:32,4.42,4.43,4.42,4.43,1200
4/3/2018 0:33,4.425,4.43,4.425,4.43,200
4/3/2018 0:34,4.43,4.43,4.42,4.43,2200
4/3/2018 0:35,4.42,4.435,4.42,4.43,1994
4/3/2018 0:36,4.42,4.42,4.42,4.42,900
4/3/2018 0:37,4.41,4.4199,4.41,4.4199,2200
4/3/2018 0:38,4.42,4.42,4.41,4.42,2190
4/3/2018 0:39,4.41,4.42,4.41,4.42,500
4/3/2018 0:40,4.4,4.41,4.4,4.41,2500
4/3/2018 0:41,4.4,4.41,4.4,4.41,400
4/3/2018 0:42,4.41,4.41,4.41,4.41,1400
4/3/2018 0:43,4.41,4.415,4.4,4.41,2367
4/3/2018 0:44,4.41,4.41,4.4,4.41,3300
4/3/2018 0:45,4.42,4.42,4.42,4.42,200
4/3/2018 0:46,4.425,4.425,4.42,4.42,800
4/3/2018 0:47,4.43,4.43,4.43,4.43,2683
4/3/2018 0:48,4.415,4.4362,4.415,4.435,3516
4/3/2018 0:49,4.42,4.42,4.415,4.42,1900
4/3/2018 0:50,4.44,4.44,4.43,4.43,300
4/3/2018 0:51,4.42,4.42,4.42,4.42,100
4/3/2018 0:52,4.42,4.44,4.42,4.44,1800
4/3/2018 0:53,4.41,4.425,4.41,4.42,2400
4/3/2018 0:54,4.4,4.4105,4.39,4.41,6234
4/3/2018 0:55,4.4,4.42,4.4,4.4,2834
4/3/2018 0:56,4.44,4.44,4.4187,4.42,4699
4/3/2018 0:57,4.45,4.45,4.44,4.44,700
4/3/2018 0:58,4.45,4.45,4.44,4.44,1631
4/3/2018 0:59,4.44,4.45,4.4308,4.45,5712
4/3/2018 1:00,4.45,4.45,4.44,4.44,800
4/3/2018 1:01,4.45,4.46,4.45,4.45,1400
4/3/2018 1:02,4.46,4.46,4.46,4.46,600
4/3/2018 1:03,4.47,4.47,4.46,4.46,2200
4/3/2018 1:04,4.47,4.47,4.46,4.465,400
4/3/2018 1:05,4.44,4.465,4.44,4.46,7895
4/3/2018 1:06,4.43,4.455,4.43,4.45,5080
4/3/2018 1:07,4.44,4.44,4.44,4.44,1100
4/3/2018 1:08,4.44,4.455,4.44,4.44,4900
4/3/2018 1:09,4.44,4.4402,4.43,4.4402,4307
4/3/2018 1:10,4.435,4.44,4.43,4.44,10350
4/3/2018 1:11,4.4338,4.435,4.43,4.43,1200
4/3/2018 1:12,4.4335,4.445,4.43,4.44,9886
4/3/2018 1:13,4.45,4.455,4.445,4.445,2900
4/3/2018 1:14,4.46,4.46,4.45,4.45,2300
4/3/2018 1:15,4.47,4.47,4.454,4.454,3762
4/3/2018 1:16,4.47,4.47,4.4698,4.4698,1259
4/3/2018 1:17,4.49,4.49,4.47,4.47,9723
4/3/2018 1:18,4.49,4.49,4.48,4.49,2041
4/3/2018 1:19,4.49,4.49,4.4899,4.49,2921
4/3/2018 1:20,4.51,4.51,4.49,4.49,11181
4/3/2018 1:21,4.51,4.51,4.5,4.505,15018
4/3/2018 1:22,4.5,4.51,4.49,4.505,18764
4/3/2018 1:23,4.485,4.51,4.465,4.5,71731
4/3/2018 1:24,4.5,4.5,4.485,4.49,4883
4/3/2018 1:25,4.51,4.51,4.5,4.5,3405
4/3/2018 1:26,4.5,4.51,4.5,4.51,13604
4/3/2018 1:27,4.5,4.51,4.5,4.5,1900
4/3/2018 1:28,4.505,4.505,4.5,4.505,11283
4/3/2018 1:29,4.51,4.51,4.5,4.5,7053
4/3/2018 1:30,4.51,4.51,4.5,4.5,39786
4/3/2018 19:00,4.51,4.51,4.51,4.51,5854
4/3/2018 19:01,4.4218,4.53,4.4218,4.46,12740
4/3/2018 19:02,4.439,4.439,4.4,4.43,20793
4/3/2018 19:03,4.29,4.41,4.27,4.41,16827
4/3/2018 19:04,4.25,4.3,4.24,4.2904,36837
4/3/2018 19:05,4.01,4.2517,3.95,4.2517,201138
4/3/2018 19:06,3.9701,4.175,3.9701,4.09,16770
4/3/2018 19:07,3.9101,3.9699,3.91,3.9693,17505
4/3/2018 19:08,4.025,4.0686,3.91,3.916,88800
4/3/2018 19:09,4.0997,4.1,4.0171,4.0171,29637
4/3/2018 19:10,4.06,4.1259,4.0101,4.0996,32340
4/3/2018 19:11,4.0223,4.0576,4,4.0576,10335
4/3/2018 19:12,4.001,4.02,3.98,4.02,17581
4/3/2018 19:13,4.0275,4.0341,3.99,3.993,29250
4/3/2018 19:14,4,4.0274,3.989,4.0274,2400
4/3/2018 19:15,3.94,4.0065,3.93,4.0065,37837
4/3/2018 19:16,3.92,3.9311,3.91,3.9301,4300
4/3/2018 19:17,3.9299,3.93,3.89,3.91,22373
4/3/2018 19:18,3.9,3.9399,3.9,3.9399,8145
4/3/2018 19:19,3.905,3.9101,3.89,3.89,25216
4/3/2018 19:20,3.95,3.98,3.9068,3.91,34265
4/3/2018 19:21,3.93,3.94,3.915,3.92,18511
