Date,Open,High,Low,Close,Adj Close,Volume
4/6/2009,412.5,412.5,400.5,406.75,263.582031,1139504
5/6/2009,411.200012,426.25,408.325012,422.638,273.877686,868724
8/6/2009,425,436.25,420.25,433.299988,280.786865,935568
9/6/2009,430,450,430,448.888,290.888275,905796
10/6/2009,447.5,459,440.513,450.812012,292.13504,1157224
11/6/2009,463.5,463.5,431.787994,437.888,283.76001,585904
12/6/2009,441.5,443.75,429.25,431.987,279.936035,371004
15-06-2009,431.237,443.75,422.5,430.087006,278.704803,575184
16-06-2009,425.5,433.437988,421.337006,431.037994,279.321075,332288
17-06-2009,435,436.174988,418,427.625,277.109344,636152
18-06-2009,427.5,440,423.5,430.362,278.883057,664340
19-06-2009,431.25,446.25,430,442.774994,286.92688,591108
22-06-2009,443.75,447.5,437.287994,441.437988,286.060455,398992
23-06-2009,424.75,442.5,424.75,436.513,282.868927,712704
24-06-2009,437.774994,443.475006,430.549988,439.787994,284.991211,437968
25-06-2009,445,449.424988,436.513,439.437988,284.764435,389692
26-06-2009,442.5,459.674988,438.087006,456.687988,295.942688,867364
29-06-2009,455.049988,457.5,443.138,445.937988,288.976593,545064
30-06-2009,446.263,449.75,440,444.225006,287.866516,461488
1/7/2009,444.200012,453.225006,442.763,449.174988,291.074158,396920
2/7/2009,446.25,450,441.25,448.975006,290.94455,305248
3/7/2009,445,452.5,437.5,450.225006,291.754639,447868
6/7/2009,449.987,454.75,437.5,440,285.128662,832028
7/7/2009,442.5,443.75,431.5,434.799988,281.758942,577128
8/7/2009,431.25,433.25,422,426.424988,276.331726,903068
9/7/2009,427,428,417.5,419.187988,271.641968,805388
10/7/2009,408.75,441.75,408.75,431.625,279.701477,2387896
13-07-2009,430,443.612,427.5,441.987,286.416199,821116
14-07-2009,445,453.600006,437.774994,451.587006,292.637207,841552
15-07-2009,454.75,454.75,439.799988,447.737,290.142395,785396
16-07-2009,450,455,442.700012,448.774994,290.815033,863716
17-07-2009,454.25,468.25,450.25,466.75,302.463165,964280
20-07-2009,470,498.5,467.524994,493.174988,319.587036,2275776
21-07-2009,506.25,506.25,481.263,485.774994,314.791748,484436
22-07-2009,493,493,473.75,479.799988,310.9198,805244
23-07-2009,486.75,494,483.75,489.962006,317.505035,3874952
24-07-2009,496.25,502.75,495.587006,500.837006,324.552185,853356
27-07-2009,501.25,510.975006,499.075012,506.325012,328.108551,574688
28-07-2009,510.75,510.75,492.062012,498.687988,323.159607,513372
29-07-2009,495.225006,499.424988,487.5,495.937988,321.377533,427684
30-07-2009,495.225006,504.674988,495.225006,502.600006,325.694641,1098280
31-07-2009,507.75,519.237,505.274994,515.974976,334.361877,1206656
3/8/2009,515,521.25,510.100006,518.963013,336.298157,498608
4/8/2009,520.062012,525,505.5,510.912994,331.081665,434500
5/8/2009,512.638,526.25,512.638,523.638,339.327667,654016
6/8/2009,524.5,525,510,513.650024,332.855286,421116
7/8/2009,506.25,514,503.75,510.475006,330.797821,318928
10/8/2009,513,528.25,512.513,521.700012,338.071838,903028
11/8/2009,521.25,527.25,513.75,520.411987,337.237122,495480
12/8/2009,520,520,500,510.687988,330.935791,281972
13-08-2009,513.763,520.25,509.75,516.299988,334.57251,411972
14-08-2009,515,516,506.513,509.962006,330.465393,254788
17-08-2009,503.75,504.674988,492.812012,495.763,321.26416,421940
18-08-2009,493.737,499.75,489.25,492.850006,319.376526,580328
19-08-2009,496.25,497,484,487.674988,316.022949,602628
20-08-2009,492.600006,498.75,488.763,498.200012,322.843445,876132
21-08-2009,498.263,509.037994,493,507.125,328.626984,931156
24-08-2009,510.25,520.599976,510.25,519.036987,336.346161,462372
25-08-2009,517,526,510.25,524.025024,339.578491,606168
26-08-2009,526.25,547,524.5,545.338013,353.389771,1017296
27-08-2009,545,550.674988,530.299988,547.437988,354.750488,784808
28-08-2009,546.25,549.75,535.625,546.911987,354.409698,540656
31-08-2009,542,542,531.25,533.075012,345.443085,296472
1/9/2009,534.950012,547.424988,530.588013,535.661987,347.119446,537012
2/9/2009,532.5,544.5,531.786987,541.299988,350.77298,314072
3/9/2009,542.513,550,533.786987,547.049988,354.499115,539168
4/9/2009,550,553.724976,534.549988,550.088013,356.467896,519036
7/9/2009,552.5,557,548.838013,555.849976,360.201691,459368
8/9/2009,546.75,558.75,546.25,550.013,356.41922,421948
9/9/2009,550.013,554.224976,544.5,548.275024,355.292938,550660
10/9/2009,551.5,562.013,550.588013,558.775024,362.097137,497720
11/9/2009,562.562012,567.974976,561.263,566.5,367.103058,566428
14-09-2009,561.25,564.974976,560.150024,562.638,364.600464,452188
15-09-2009,562.549988,568.75,560.013,567.513,367.759705,615588
16-09-2009,570.625,581.099976,568.349976,579.411987,375.470306,903388
17-09-2009,581.75,591.75,580.013,590.224976,382.477356,585928
18-09-2009,592.525024,597,587.5,590.950012,382.947174,340152
22-09-2009,590.950012,603.674988,585.25,601.400024,389.719025,552032
23-09-2009,601.25,601.25,590,591.388,383.231049,325240
24-09-2009,587.424988,587.424988,565.375,571.275024,370.197449,1334960
25-09-2009,563,568.75,558.75,561.325012,363.749603,711284
29-09-2009,561.325012,574.924988,561.325012,571.950012,370.634796,306880
30-09-2009,572.513,581.25,572.513,577.099976,373.972107,351524
1/10/2009,575.25,586.224976,572.5,581.437988,376.783264,653692
5/10/2009,575.25,586.224976,572.5,579.650024,375.624573,973988
6/10/2009,582.25,588.125,570.724976,577.713013,374.369415,385720
7/10/2009,580.25,585,557.025024,562.963013,364.811066,662516
8/10/2009,566.275024,567.5,547.474976,552.812012,358.233002,884356
9/10/2009,563.888,573.411987,542.025024,544.588013,352.903656,1723788
12/10/2009,547.5,561.375,546.25,559.937988,362.850769,509516
13-10-2009,559.937988,559.937988,559.937988,559.937988,362.850769,0
14-10-2009,561.25,566,555,563.924988,365.434448,430672
15-10-2009,564.5,566.25,547,553.911987,365.425842,495356
16-10-2009,555,559.950012,546.013,547.474976,361.179291,745880
20-10-2009,547.474976,556,543.5,546.411987,360.478027,805108
21-10-2009,544,559.025024,539,541.362,357.146362,2422536
